case,success_rate_percent,mean_extracted,std_extracted,mean_matched,mean_time_seconds
Before (class='.quote'),60.0,7.9,4.18,7.6,99.6
After (class='.item' + dummy div),70.0,7.1,4.68,7.0,118.4
